date,MKTX
2019-02-07,220.305
2019-02-08,220.59
2019-02-11,223.63
2019-02-12,225.22
2019-02-13,228.28
2019-02-14,226.54
2019-02-15,229.54
2019-02-20,233.71
2019-02-21,235.19
2019-02-22,238.9
2019-02-25,241.46
2019-02-26,240.39
2019-02-27,244.5
2019-02-28,244.0
2019-03-01,243.11
2019-03-04,237.41
2019-03-05,233.85
2019-03-06,230.46
2019-03-07,225.34
2019-03-08,225.575
2019-03-11,227.32
2019-03-12,229.77
2019-03-13,230.47
2019-03-14,231.79
2019-03-15,233.49
2019-03-18,237.64
2019-03-19,235.5
2019-03-20,237.23
2019-03-21,240.3
2019-03-22,238.33
2019-03-25,239.29
2019-03-26,243.67
2019-03-27,245.0
2019-03-28,246.42
2019-03-29,246.06
2019-04-01,246.6
2019-04-02,248.64
2019-04-03,246.54
2019-04-04,248.28
2019-04-05,254.06
2019-04-08,258.26
2019-04-09,258.97
2019-04-10,258.45
2019-04-11,257.105
2019-04-12,259.98
2019-04-15,261.74
2019-04-16,262.9
2019-04-17,262.24
2019-04-18,263.95
2019-04-22,262.02
2019-04-23,262.71
2019-04-24,264.38
2019-04-25,265.43
2019-04-26,269.8
2019-04-29,276.32
2019-04-30,278.2
2019-05-01,282.0
